h,Open,High,Low,Close,Volume,Adj Close
01/12/2015,139.580002,141.399994,139.580002,141.279999,4195100,135.026395
30/11/2015,138.610001,139.899994,138.520004,139.419998,4545600,133.248725
27/11/2015,138,138.809998,137.210007,138.460007,1415800,132.331227
25/11/2015,138.369995,138.429993,137.380005,138,3238200,131.891582
24/11/2015,137.649994,139.339996,137.309998,138.600006,3407700,132.465029
23/11/2015,138.529999,138.869995,137.119995,138.460007,5137900,132.331227
20/11/2015,137.369995,138.919998,137.25,138.5,5176400,132.36945
19/11/2015,136.210007,137.740005,136.009995,136.740005,4753600,130.68736
18/11/2015,134.789993,135.910004,134.259995,135.820007,4149200,129.808084
17/11/2015,134.220001,134.820007,133.309998,133.820007,2815100,127.896612
16/11/2015,131.789993,134.089996,131.789993,133.710007,4190800,127.79148
13/11/2015,132.949997,133,131.649994,131.75,4613800,125.918231
12/11/2015,134.699997,134.699997,133.009995,133.039993,4701400,127.151124
11/11/2015,136.089996,136.199997,134.5,135.020004,3164800,129.043492
10/11/2015,135.360001,135.740005,134.119995,135.470001,4520800,129.473571
09/11/2015,137.919998,138.080002,134.880005,135.309998,8075600,129.320649
06/11/2015,138.600006,139.550003,137.869995,138.25,4744900,132.130516
05/11/2015,141.610001,142.380005,139.630005,139.889999,5096900,132.455463
04/11/2015,142.550003,142.649994,141.300003,141.630005,3516900,134.102995
03/11/2015,140.020004,142.800003,139.899994,141.880005,4349400,134.339709
02/11/2015,140.5,140.520004,139.570007,140.369995,3822200,132.909949
30/10/2015,140.440002,141.330002,139.899994,140.080002,3984000,132.635368
29/10/2015,140.360001,140.820007,139.020004,140.550003,3710400,133.080391
28/10/2015,137.919998,141.229996,137.5,140.830002,8511400,133.345509
27/10/2015,143.509995,143.830002,137.330002,137.860001,15008500,130.53335
26/10/2015,144.75,145,143.210007,143.660004,3489400,136.025108
23/10/2015,144.610001,145.490005,143.699997,144.679993,5370400,136.990889
22/10/2015,141.740005,145.070007,141.619995,144.089996,5583200,136.432249
21/10/2015,140.25,142.660004,139.300003,140.919998,6990600,133.430722
20/10/2015,142.490005,142.880005,140.270004,140.639999,15928800,133.165604
19/10/2015,149.850006,149.970001,148.380005,149.220001,7954700,141.289617
16/10/2015,150.449997,151.199997,149.259995,150.389999,3483700,142.397435
15/10/2015,150.910004,151.240005,148.580002,150.089996,3476200,142.113375
14/10/2015,149.600006,150.649994,149.020004,150.009995,3353000,142.037625
13/10/2015,150.779999,150.779999,149.179993,149.619995,3915700,141.668353
12/10/2015,152.399994,152.580002,150.850006,151.139999,3227600,143.107575
09/10/2015,152.460007,153.149994,151.270004,152.389999,3531100,144.291143
08/10/2015,149.690002,153.020004,149.289993,152.279999,4794400,144.186989
07/10/2015,150.039993,150.729996,148.860001,150.089996,2980800,142.113375
06/10/2015,149.059998,150.149994,148.490005,148.779999,3018100,140.872998
05/10/2015,145.820007,149.889999,145.820007,149.039993,5131800,141.119175
02/10/2015,141.050003,144.589996,140.559998,144.580002,3054400,136.896213
01/10/2015,145.309998,145.669998,141.589996,143.589996,3880900,135.958822
30/09/2015,143.690002,145.710007,143.660004,144.970001,3946200,137.265485
29/09/2015,141.990005,142.660004,141.149994,142.470001,4763500,134.898349
28/09/2015,144.419998,145.380005,142.470001,142.520004,4317300,134.945695
25/09/2015,145.550003,146.270004,144.529999,145.419998,3474400,137.691567
24/09/2015,142.600006,145.070007,141.949997,144.410004,3280300,136.735249
23/09/2015,144.210007,144.570007,142.75,143.660004,2674200,136.025108
22/09/2015,144.619995,145.059998,143.770004,144.429993,3564100,136.754176
21/09/2015,145.389999,146.979996,144.919998,146.479996,3825000,138.69523
18/09/2015,146.050003,146.389999,143.979996,144.509995,7975800,136.829926
17/09/2015,148.100006,149.679993,147.300003,148.139999,4003000,140.267012
16/09/2015,147.839996,148.889999,147.539993,148.410004,2799200,140.522667
15/09/2015,146.600006,147.929993,145.759995,147.529999,2717100,139.68943
14/09/2015,147.369995,147.369995,145.410004,145.649994,3226700,137.909339
11/09/2015,145.910004,147.5,145.669998,147.369995,3115100,139.53793
10/09/2015,145.850006,147.160004,144.509995,146.199997,3461700,138.430112
09/09/2015,148.740005,149.039993,144.850006,145.050003,3407800,137.341235
08/09/2015,145.860001,147.339996,145.660004,147.229996,3933300,139.405371
04/09/2015,144.570007,145.399994,143.320007,143.699997,4201100,136.062976
03/09/2015,146.050003,148.029999,145.770004,146.779999,3603500,138.97929
02/09/2015,144.740005,145.080002,143.179993,145.050003,4252000,137.341235
01/09/2015,144.910004,144.979996,141.850006,142.679993,5272000,135.097181
31/08/2015,147.380005,148.399994,146.259995,147.889999,4093100,140.030298
28/08/2015,147.75,148.199997,147.179993,147.979996,4076300,140.115512
27/08/2015,148.5,148.970001,145.660004,148.539993,4976600,140.645748
26/08/2015,144.089996,146.979996,142.139999,146.699997,6221800,138.903539
25/08/2015,146.940002,147.110001,140.619995,140.960007,7073200,133.468604
24/08/2015,143.470001,147.759995,143,143.470001,10189700,135.845204
21/08/2015,151.5,153.190002,148.699997,148.850006,7362100,140.939285
20/08/2015,152.740005,153.910004,152.5,152.660004,4011500,144.546798
